Project Name,Package Name,Architecture Smell,Cause of the Smell
spring-cloud-alibaba,com.alibaba.cloud.nacos.registry,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [NacosAutoServiceRegistration; NacosRegistration; NacosRegistrationCustomizer; NacosServiceRegistryAutoConfiguration; NacosAutoServiceRegistrationIpNetworkInterfaceTests; NacosAutoServiceRegistrationIpTests; NacosAutoServiceRegistrationManagementPortTests; NacosAutoServiceRegistrationPortTests; NacosAutoServiceRegistrationTests; NacosRegistrationCustomizerTest; NacosServiceRegistry]; [MockNamingService]; [NacosAutoServiceRegistrationIpNetworkInterfaceTests.TestConfig]; [NacosAutoServiceRegistrationIpTests.TestConfig]; [NacosAutoServiceRegistrationManagementPortTests.TestConfig]; [NacosAutoServiceRegistrationPortTests.TestConfig]; [NacosAutoServiceRegistrationTests.TestConfig]; [NacosRegistrationCustomizerTest.TestConfig]. LCC (Lack of Component Cohesion) = 0.44
spring-cloud-alibaba,com.alibaba.cloud.sentinel.custom,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BlockClassRegistry; SentinelBeanPostProcessor; SentinelProtectInterceptor; SentinelAutoConfiguration; SentinelDataSourceHandler; SentinelDataSourceHandlerTests]; [SentinelAutoConfiguration.SentinelConverterConfiguration]; [SentinelAutoConfiguration.SentinelJsonConfiguration]; [SentinelAutoConfiguration.SentinelXmlConfiguration]. LCC (Lack of Component Cohesion) = 0.44
spring-cloud-alibaba,com.alibaba.cloud.sentinel,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 62
spring-cloud-alibaba,com.alibaba.cloud.sentinel,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.alibaba.cloud.sentinel.custom; com.alibaba.cloud.sentinel.endpoint; com.alibaba.cloud.sentinel.datasource
spring-cloud-alibaba,com.alibaba.cloud.sentinel,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SentinelConstants; SentinelProperties; SentinelProperties.Flow; SentinelProperties.Servlet; SentinelProperties.Metric; SentinelProperties.Transport; SentinelWebAutoConfiguration; SentinelWebMvcConfigurer; SentinelAutoConfigurationTests; SentinelBeanAutowiredTests; SentinelDataSourceTests]; [SentinelProperties.Filter]; [SentinelProperties.Log]; [SentinelWebFluxAutoConfiguration]; [ContextIdSentinelFeignTests]; [ContextIdSentinelFeignTests.TestConfig]; [ContextIdSentinelFeignTests.EchoService]; [ContextIdSentinelFeignTests.FooService]; [ContextIdSentinelFeignTests.FeignConfiguration]; [ContextIdSentinelFeignTests.EchoServiceFallback]; [ContextIdSentinelFeignTests.FooServiceFallback]; [ContextIdSentinelFeignTests.CustomFallbackFactory]; [SentinelAutoConfigurationTests.SentinelTestConfiguration]; [SentinelAutoConfigurationTests.ExceptionUtil]; [SentinelAutoConfigurationTests.TestConfig]; [SentinelBeanAutowiredTests.TestConfig]; [SentinelDataSourceTests.TestConfig]; [SentinelFallbackSupportFactoryBeanTests]; [SentinelFallbackSupportFactoryBeanTests.TestConfiguration]; [SentinelFallbackSupportFactoryBeanTests.OriginalFeign]; [SentinelFallbackSupportFactoryBeanTests.FactoryBeanFallbackFeign]; [SentinelFallbackSupportFactoryBeanTests.FactoryBeanFallbackFeignFallback]; [SentinelFallbackSupportFactoryBeanTests.OriginalFeignFallback]; [SentinelFeignLazilyTests; SentinelFeignTests]; [SentinelFeignTests.TestConfig]; [SentinelFeignTests.EchoService]; [SentinelFeignTests.FooService]; [SentinelFeignTests.BarService]; [SentinelFeignTests.BazService]; [SentinelFeignTests.BazClient]; [SentinelFeignTests.EchoServiceFallback]; [SentinelFeignTests.FooServiceFallback]; [SentinelFeignTests.CustomFallbackFactory]; [SentinelRestTemplateTests; SentinelRestTemplateTests.TestConfig5; SentinelRestTemplateTests.TestConfig6; SentinelRestTemplateTests.TestConfig7; SentinelRestTemplateTests.TestConfig8; SentinelRestTemplateTests.TestConfig9; SentinelRestTemplateTests.TestConfig13; SentinelRestTemplateTests.TestConfig14]; [SentinelRestTemplateTests.TestConfig1]; [SentinelRestTemplateTests.TestConfig2]; [SentinelRestTemplateTests.TestConfig3]; [SentinelRestTemplateTests.TestConfig4]; [SentinelRestTemplateTests.TestConfig10]; [SentinelRestTemplateTests.TestConfig11]; [SentinelRestTemplateTests.TestConfig12]; [SentinelRestTemplateTests.ExceptionUtil]; [SentinelRestTemplateTests.UrlCleanUtil]; [TestConverter]. LCC (Lack of Component Cohesion) = 0.71
spring-cloud-alibaba,com.alibaba.cloud.sentinel,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.alibaba.cloud.sentinel; com.alibaba.cloud.sentinel.custom; com.alibaba.cloud.sentinel
spring-cloud-alibaba,com.alibaba.cloud.sentinel,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.alibaba.cloud.sentinel; com.alibaba.cloud.sentinel.endpoint; com.alibaba.cloud.sentinel
spring-cloud-alibaba,com.alibaba.cloud.stream.binder.rocketmq.properties,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [RocketMQBinderConfigurationProperties; RocketMQCommonProperties; RocketMQConsumerProperties; RocketMQProducerProperties; RocketMQSpecificPropertiesProvider]; [RocketMQConsumerProperties.Push]; [RocketMQConsumerProperties.Pull]; [RocketMQExtendedBindingProperties]; [RocketMQProducerProperties.ProducerType]; [RocketMQProducerProperties.SendType]. LCC (Lack of Component Cohesion) = 0.6
spring-cloud-alibaba,com.alibaba.cloud.stream.binder.rocketmq,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [RocketMQMessageChannelBinder; RocketMQMessageChannelBinderTest; TestConsumerDestination]; [RocketMQAutoConfigurationTests; RocketMQAutoConfigurationTests]; [RocketMQMessageChannelBinderTest.TestConfig]; [RocketMQMessageConverterSupportTest]; [RocketmqStreamApplication]; [RocketMQAutoConfigurationTests.TestConfig]; [RocketmqProduceAndConsumerTests]. LCC (Lack of Component Cohesion) = 0.7
spring-cloud-alibaba,com.alibaba.cloud.tests.nacos.config,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [NacosConfigTestApplication]; [UserProperties]; [UserProperties.User]; [NacosConfigPropertiesServerAddressBothLevelTests]; [NacosConfigPropertiesServerAddressBothLevelTests.TestConfig]; [NacosConfigPropertiesServerAddressTopLevelTests]; [NacosConfigPropertiesServerAddressTopLevelTests.TestConfig]; [NacosConfigRefreshTest]; [NacosConfigurationExtConfigTests]; [NacosConfigurationExtConfigTests.TestConfig]; [NacosConfigurationTests]; [NacosConfigurationTests.TestConfig]; [NacosFileExtensionTest]; [NacosFileExtensionTest.TestConfig]; [NacosImportCheckTest]. LCC (Lack of Component Cohesion) = 1.0
spring-cloud-alibaba,com.alibaba.cloud.testsupport,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Constant]; [ContainerStarter; InetUtil]; [Func; Tester]; [HasDockerAndItEnabledCondition]; [SpringCloudAlibabaExtension]; [TestTimeoutExtension]. LCC (Lack of Component Cohesion) = 0.75
