Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
spring-cloud-alibaba,com.alibaba.cloud.examples,RandomLoadBalancer,choose,Long Statement,The length of the statement "ServiceInstanceListSupplier supplier=serviceInstanceListSupplierProvider.getIfAvailable(NoopServiceInstanceListSupplier::new);" is 126.,54
spring-cloud-alibaba,com.alibaba.cloud.examples,RandomLoadBalancer,choose,Long Identifier,The length of the field serviceInstanceListSupplierProvider is 35.,63
spring-cloud-alibaba,com.alibaba.cloud.examples,RandomLoadBalancer,choose,Long Statement,The length of the statement "ServiceInstanceListSupplier supplier=serviceInstanceListSupplierProvider.getIfAvailable(NoopServiceInstanceListSupplier::new);" is 126.,63
spring-cloud-alibaba,com.alibaba.cloud.examples,TestController,zone,Long Statement,The length of the statement "return "consumer zone " + zone + "\n"+ urlCleanedRestTemplate.getForObject(SERVICE_PROVIDER_ADDRESS + "/zone"`String.class);" is 124.,63
spring-cloud-alibaba,com.alibaba.cloud.examples,EchoController,sleep,Magic Number,The method contains a magic number: 1000L,54
spring-cloud-alibaba,com.alibaba.cloud.examples,MyController,allServices,Long Statement,The length of the statement "return reactiveDiscoveryClient.getInstances("service-provider").map(serviceInstance -> serviceInstance.getHost() + ":" + serviceInstance.getPort());" is 148.,44
spring-cloud-alibaba,com.alibaba.cloud.examples,RocketMQComprehensiveApplication,producer,Magic Number,The method contains a magic number: 2,46
spring-cloud-alibaba,com.alibaba.cloud.examples,RocketMQComprehensiveApplication,producer,Magic Number,The method contains a magic number: 21,46
spring-cloud-alibaba,com.alibaba.cloud.examples,HomeController,rest,Long Statement,The length of the statement "String result=restTemplate.getForObject("http://127.0.0.1:18082/storage/" + COMMODITY_CODE + "/"+ ORDER_COUNT`String.class);" is 124.,66
spring-cloud-alibaba,com.alibaba.cloud.examples,HomeController,rest,Magic Number,The method contains a magic number: 300000,66
spring-cloud-alibaba,com.alibaba.cloud.examples,HomeController,feign,Magic Number,The method contains a magic number: 300000,105
spring-cloud-alibaba,com.alibaba.cloud.examples,Order,toString,Long Statement,The length of the statement "return "Order{" + "id=" + id + "` userId='"+ userId+ '\''+ "` commodityCode='"+ commodityCode+ '\''+ "` count="+ count+ "` money="+ money+ '}';" is 143.,48
spring-cloud-alibaba,com.alibaba.cloud.examples,Order,toString,Long Statement,The length of the statement "return "Order{" + "id=" + id + "` userId='"+ userId+ '\''+ "` commodityCode='"+ commodityCode+ '\''+ "` count="+ count+ "` money="+ money+ '}';" is 143.,48
spring-cloud-alibaba,com.alibaba.cloud.examples,OrderController,order,Long Statement,The length of the statement "PreparedStatement pst=con.prepareStatement("insert into order_tbl (user_id` commodity_code` count` money) values (?` ?` ?` ?)"`PreparedStatement.RETURN_GENERATED_KEYS);" is 168.,70
spring-cloud-alibaba,com.alibaba.cloud.examples,OrderController,order,Magic Number,The method contains a magic number: 2,70
spring-cloud-alibaba,com.alibaba.cloud.examples,OrderController,order,Magic Number,The method contains a magic number: 3,70
spring-cloud-alibaba,com.alibaba.cloud.examples,OrderController,order,Magic Number,The method contains a magic number: 4,70
spring-cloud-alibaba,com.alibaba.cloud.examples,OrderController,createPreparedStatement,Long Statement,The length of the statement "PreparedStatement pst=con.prepareStatement("insert into order_tbl (user_id` commodity_code` count` money) values (?` ?` ?` ?)"`PreparedStatement.RETURN_GENERATED_KEYS);" is 168.,88
spring-cloud-alibaba,com.alibaba.cloud.examples,OrderController,createPreparedStatement,Magic Number,The method contains a magic number: 2,88
spring-cloud-alibaba,com.alibaba.cloud.examples,OrderController,createPreparedStatement,Magic Number,The method contains a magic number: 3,88
spring-cloud-alibaba,com.alibaba.cloud.examples,OrderController,createPreparedStatement,Magic Number,The method contains a magic number: 4,88
spring-cloud-alibaba,com.alibaba.cloud.examples,OrderController,calculate,Magic Number,The method contains a magic number: 2,116
spring-cloud-alibaba,com.alibaba.cloud.examples,ServiceApplication,defaultConfig,Long Statement,The length of the statement "factory.configureDefault(id -> new SentinelConfigBuilder().resourceName(id).rules(Collections.singletonList(new DegradeRule(id).setGrade(RuleConstant.DEGRADE_GRADE_RT).setCount(100).setTimeWindow(10))).build());" is 211.,57
spring-cloud-alibaba,com.alibaba.cloud.examples,ServiceApplication,defaultConfig,Magic Number,The method contains a magic number: 100,57
spring-cloud-alibaba,com.alibaba.cloud.examples,ServiceApplication,defaultConfig,Magic Number,The method contains a magic number: 10,57
spring-cloud-alibaba,com.alibaba.cloud.examples,TestController,slow,Magic Number,The method contains a magic number: 500L,61
spring-cloud-alibaba,com.alibaba.cloud.examples,MySCGConfiguration,blockRequestHandler,Magic Number,The method contains a magic number: 444,36
spring-cloud-alibaba,com.alibaba.cloud.examples,MySCGConfiguration,handleRequest,Magic Number,The method contains a magic number: 444,39
spring-cloud-alibaba,com.alibaba.cloud.examples,MyConfiguration,blockRequestHandler,Long Statement,The length of the statement "return ServerResponse.status(HttpStatus.TOO_MANY_REQUESTS).contentType(MediaType.APPLICATION_JSON).body(fromValue("block"));" is 124.,44
spring-cloud-alibaba,com.alibaba.cloud.examples,MyConfiguration,handleRequest,Long Statement,The length of the statement "return ServerResponse.status(HttpStatus.TOO_MANY_REQUESTS).contentType(MediaType.APPLICATION_JSON).body(fromValue("block"));" is 124.,47
spring-cloud-alibaba,com.alibaba.cloud.examples,MyConfiguration,slowCustomizer,Long Statement,The length of the statement "factory.configure(builder -> builder.rules(Collections.singletonList(new DegradeRule("slow_mono").setGrade(RuleConstant.DEGRADE_GRADE_RT).setCount(100).setTimeWindow(5)))`"slow_mono");" is 184.,56
spring-cloud-alibaba,com.alibaba.cloud.examples,MyConfiguration,slowCustomizer,Long Statement,The length of the statement "factory.configure(builder -> builder.rules(Collections.singletonList(new DegradeRule("slow_flux").setGrade(RuleConstant.DEGRADE_GRADE_RT).setCount(100).setTimeWindow(5)))`"slow_flux");" is 184.,56
spring-cloud-alibaba,com.alibaba.cloud.examples,MyConfiguration,slowCustomizer,Long Statement,The length of the statement "factory.configureDefault(id -> new SentinelConfigBuilder().resourceName(id).rules(Collections.singletonList(new DegradeRule(id).setGrade(RuleConstant.DEGRADE_GRADE_EXCEPTION_COUNT).setCount(0.5).setTimeWindow(10))).build());" is 224.,56
spring-cloud-alibaba,com.alibaba.cloud.examples,MyConfiguration,slowCustomizer,Magic Number,The method contains a magic number: 100,56
spring-cloud-alibaba,com.alibaba.cloud.examples,MyConfiguration,slowCustomizer,Magic Number,The method contains a magic number: 5,56
spring-cloud-alibaba,com.alibaba.cloud.examples,MyConfiguration,slowCustomizer,Magic Number,The method contains a magic number: 100,56
spring-cloud-alibaba,com.alibaba.cloud.examples,MyConfiguration,slowCustomizer,Magic Number,The method contains a magic number: 5,56
spring-cloud-alibaba,com.alibaba.cloud.examples,MyConfiguration,slowCustomizer,Magic Number,The method contains a magic number: 0.5,56
spring-cloud-alibaba,com.alibaba.cloud.examples,MyConfiguration,slowCustomizer,Magic Number,The method contains a magic number: 10,56
spring-cloud-alibaba,com.alibaba.cloud.examples,SentinelWebFluxController,cbSlow,Long Statement,The length of the statement "return WebClient.builder().baseUrl("http://httpbin.org/").build().get().uri("/delay/" + delaySecs).retrieve().bodyToMono(String.class).transform(it -> circuitBreakerFactory.create("slow_mono").run(it`t -> {" is 206.,59
spring-cloud-alibaba,com.alibaba.cloud.examples,SentinelWebFluxController,cbSlow,Magic Number,The method contains a magic number: 2,59
spring-cloud-alibaba,com.alibaba.cloud.examples,SentinelWebFluxController,cbError,Long Statement,The length of the statement "return WebClient.builder().baseUrl("http://httpbin.org/").build().get().uri("/status/" + code).retrieve().bodyToMono(String.class).transform(it -> circuitBreakerFactory.create("cbError").run(it`t -> {" is 200.,70
spring-cloud-alibaba,com.alibaba.cloud.examples.configuration,SentinelRulesConfiguration,init,Magic Number,The method contains a magic number: 30,40
spring-cloud-alibaba,com.alibaba.cloud.examples.configuration,SentinelRulesConfiguration,init,Magic Number,The method contains a magic number: 0.1,40
spring-cloud-alibaba,com.alibaba.cloud.examples.configuration,SentinelRulesConfiguration,init,Magic Number,The method contains a magic number: 30,40
spring-cloud-alibaba,com.alibaba.cloud.examples.configuration,SentinelRulesConfiguration,init,Magic Number,The method contains a magic number: 30,38
spring-cloud-alibaba,com.alibaba.cloud.examples.configuration,SentinelRulesConfiguration,init,Magic Number,The method contains a magic number: 0.1,38
spring-cloud-alibaba,com.alibaba.cloud.examples.configuration,SentinelRulesConfiguration,init,Magic Number,The method contains a magic number: 30,38
spring-cloud-alibaba,com.alibaba.cloud.examples.broadcast,RocketMQBroadcastProducerApplication,producer,Magic Number,The method contains a magic number: 100,51
spring-cloud-alibaba,com.alibaba.cloud.examples.delay,RocketMQDelayConsumeApplication,producerDelay,Magic Number,The method contains a magic number: 100,50
spring-cloud-alibaba,com.alibaba.cloud.examples.delay,RocketMQDelayConsumeApplication,producerDelay,Magic Number,The method contains a magic number: 2,50
spring-cloud-alibaba,com.alibaba.cloud.examples.orderly,RocketMQOrderlyConsumeApplication,producer,Magic Number,The method contains a magic number: 100,57
spring-cloud-alibaba,com.alibaba.cloud.examples.orderly,RocketMQOrderlyConsumeApplication,consumer,Empty catch clause,The method has an empty catch block.,72
spring-cloud-alibaba,com.alibaba.cloud.examples.orderly,RocketMQOrderlyConsumeApplication,consumer,Long Statement,The length of the statement "log.info(Thread.currentThread().getName() + " Receive New Messages: " + msg.getPayload().getMsg()+ " TAG:"+ msg.getHeaders().get(tagHeaderKey).toString());" is 155.,72
spring-cloud-alibaba,com.alibaba.cloud.examples.orderly,RocketMQOrderlyConsumeApplication,consumer,Magic Number,The method contains a magic number: 100,72
spring-cloud-alibaba,com.alibaba.cloud.examples.pollable,RocketMQPollableConsumeApplication,main,Empty catch clause,The method has an empty catch block.,51
spring-cloud-alibaba,com.alibaba.cloud.examples.pollable,RocketMQPollableConsumeApplication,main,Magic Number,The method contains a magic number: 1000,51
spring-cloud-alibaba,com.alibaba.cloud.examples.pollable,RocketMQPollableConsumeApplication,producer,Magic Number,The method contains a magic number: 100,72
spring-cloud-alibaba,com.alibaba.cloud.examples.sql,RocketMQSqlConsumeApplication,producer,Magic Number,The method contains a magic number: 100,59
spring-cloud-alibaba,com.alibaba.cloud.examples.sql,RocketMQSqlConsumeApplication,consumer,Long Statement,The length of the statement "log.info(Thread.currentThread().getName() + " Receive New Messages: " + msg.getPayload().getMsg()+ " COLOR:"+ msg.getHeaders().get(colorHeaderKey).toString()+ " "+ "PRICE: "+ msg.getHeaders().get(priceHeaderKey).toString());" is 224.,75
spring-cloud-alibaba,com.alibaba.cloud.examples.tx,RocketMQTxApplication,producer,Magic Number,The method contains a magic number: 4,51
spring-cloud-alibaba,com.alibaba.cloud.examples.tx,RocketMQTxApplication,consumer,Long Statement,The length of the statement "log.info(Thread.currentThread().getName() + " Receive New Messages: " + msg.getPayload().getMsg()+ " ARG:"+ arg.toString());" is 124.,66
spring-cloud-alibaba,com.alibaba.cloud.examples.controller,StorageController,echo,Long Statement,The length of the statement "int result=jdbcTemplate.update("update storage_tbl set count = count - ? where commodity_code = ?"`new Object[]{count`commodityCode});" is 134.,46
spring-cloud-alibaba,com.alibaba.cloud.sidecar,SidecarAutoConfiguration,sidecarHealthChecker,Long Statement,The length of the statement "SidecarHealthChecker cleaner=new SidecarHealthChecker(sidecarDiscoveryClient`sidecarHealthIndicator`sidecarProperties`environment);" is 131.,45
spring-cloud-alibaba,com.alibaba.cloud.sidecar,SidecarHealthChecker,check,Empty catch clause,The method has an empty catch block.,64
spring-cloud-alibaba,com.alibaba.cloud.sidecar,SidecarHealthChecker,check,Long Identifier,The length of the field customHealthCheckHandlerObjectProvider is 38.,64
spring-cloud-alibaba,com.alibaba.cloud.sidecar,SidecarHealthChecker,check,Long Statement,The length of the statement "log.info("Polyglot service changed and Health check success. register the new instance. applicationName = {}` ip = {}` port = {}` status = {}"`applicationName`ip`port`status);" is 175.,64
spring-cloud-alibaba,com.alibaba.cloud.sidecar,SidecarHealthChecker,check,Long Statement,The length of the statement "log.warn("Health check failed. unregister this instance. applicationName = {}` ip = {}` port = {}` status = {}"`applicationName`ip`port`status);" is 144.,64
spring-cloud-alibaba,com.alibaba.cloud.sidecar,SidecarHealthChecker,check,Long Statement,The length of the statement "customHealthCheckHandlerObjectProvider.ifAvailable(customHealthCheckHandler -> customHealthCheckHandler.handler(applicationName`sidecarInstanceInfo));" is 150.,64
spring-cloud-alibaba,com.alibaba.cloud.sidecar,SidecarHealthIndicator,doHealthCheck,Long Statement,The length of the statement "ResponseEntity<Map<String`Object>> exchange=this.restTemplate.exchange(uri`HttpMethod.GET`null`new ParameterizedTypeReference<Map<String`Object>>(){" is 148.,44
spring-cloud-alibaba,com.alibaba.cloud.examples.rocketmq,RocketMQBusApplication,main,Long Statement,The length of the statement "new SpringApplicationBuilder(RocketMQBusApplication.class).properties("server.port=0").properties("management.endpoints.web.exposure.include=*").properties("spring.cloud.bus.trace.enabled=true").run(args);" is 205.,45
spring-cloud-alibaba,com.alibaba.cloud.commons.lang,StringUtils,regionMatches,Long Parameter List,The method has 6 parameters. ,210
spring-cloud-alibaba,com.alibaba.cloud.commons.lang,StringUtils,substringBetween,Complex Conditional,The conditional expression str == null || open == null || close == null is complex.,328
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource.config,AbstractDataSourceProperties,postRegister,Complex Method,Cyclomatic complexity of the method is 8,100
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource.config,DataSourcePropertiesConfiguration,getValidField,Empty catch clause,The method has an empty catch block.,88
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource.config,DataSourcePropertiesConfiguration,getValidDataSourceProperties,Empty catch clause,The method has an empty catch block.,108
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource.config,DataSourcePropertiesConfiguration,getValidDataSourceProperties,Empty catch clause,The method has an empty catch block.,108
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource.config,FileDataSourceProperties,preCheck,Long Statement,The length of the statement "throw new RuntimeException("[Sentinel Starter] DataSource " + dataSourceName + " handle file ["+ this.getFile()+ "] error: "+ e.getMessage()`e);" is 144.,80
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource.converter,SentinelConverter,convert,Complex Conditional,The conditional expression ruleClass == FlowRule.class || ruleClass == DegradeRule.class || ruleClass == SystemRule.class || ruleClass == AuthorityRule.class || ruleClass == ParamFlowRule.class is complex.,64
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource.converter,SentinelConverter,convert,Long Statement,The length of the statement "if (ruleClass == FlowRule.class || ruleClass == DegradeRule.class || ruleClass == SystemRule.class || ruleClass == AuthorityRule.class || ruleClass == ParamFlowRule.class) {" is 173.,64
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource.factorybean,NacosDataSourceFactoryBean,getObject,Complex Method,Cyclomatic complexity of the method is 8,58
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource.factorybean,RedisDataSourceFactoryBean,getObject,Magic Number,The method contains a magic number: 2,71
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,DataSourcePropertiesTests,testZK,Long Statement,The length of the statement "assertThat(zookeeperDataSourceProperties.getFactoryBeanName()).isEqualTo(ZookeeperDataSourceFactoryBean.class.getName());" is 121.,66
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,DataSourcePropertiesTests,testFileDefaultValue,Long Statement,The length of the statement "assertThat(fileDataSourceProperties.getFactoryBeanName()).isEqualTo(FileRefreshableDataSourceFactoryBean.class.getName());" is 122.,90
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,DataSourcePropertiesTests,testFileDefaultValue,Magic Number,The method contains a magic number: 3000L,90
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,DataSourcePropertiesTests,testFileDefaultValue,Magic Number,The method contains a magic number: 1024,90
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,DataSourcePropertiesTests,testFileDefaultValue,Magic Number,The method contains a magic number: 1024,90
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,DataSourcePropertiesTests,testFileCustomValue,Magic Number,The method contains a magic number: 1024,106
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,DataSourcePropertiesTests,testFileCustomValue,Magic Number,The method contains a magic number: 2000,106
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,DataSourcePropertiesTests,testFileCustomValue,Magic Number,The method contains a magic number: 2000L,106
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,DataSourcePropertiesTests,testFileCustomValue,Magic Number,The method contains a magic number: 1024,106
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,DataSourcePropertiesTests,testPostRegister,Empty catch clause,The method has an empty catch block.,130
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,DataSourcePropertiesTests,testPostRegister,Long Statement,The length of the statement "FileRefreshableDataSource fileRefreshableDataSource=new FileRefreshableDataSource(ResourceUtils.getFile(StringUtils.trimAllWhitespace(fileDataSourceProperties.getFile())).getAbsolutePath()`new Converter<String`List<FlowRule>>(){" is 228.,130
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,DataSourcePropertiesTests,convert,Empty catch clause,The method has an empty catch block.,145
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,FileRefreshableDataSourceFactoryBeanTests,testFile,Long Identifier,The length of the identifier annotationConfigApplicationContext is 34.,43
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,FileRefreshableDataSourceFactoryBeanTests,testFile,Long Statement,The length of the statement "AnnotationConfigApplicationContext annotationConfigApplicationContext=new AnnotationConfigApplicationContext(TestConfig.class);" is 127.,43
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,FileRefreshableDataSourceFactoryBeanTests,testFile,Long Statement,The length of the statement "FileRefreshableDataSource fileRefreshableDataSource=annotationConfigApplicationContext.getBean("fileBean"`FileRefreshableDataSource.class);" is 139.,43
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,FileRefreshableDataSourceFactoryBeanTests,testFile,Long Statement,The length of the statement "FileRefreshableDataSourceFactoryBean factoryBean=annotationConfigApplicationContext.getBean("&fileBean"`FileRefreshableDataSourceFactoryBean.class);" is 148.,43
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,FileRefreshableDataSourceFactoryBeanTests,testFile,Magic Number,The method contains a magic number: 1024,43
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,FileRefreshableDataSourceFactoryBeanTests,testFile,Magic Number,The method contains a magic number: 2000,43
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,SentinelConverterTests,testXmlConverter,Magic Number,The method contains a magic number: 2,89
spring-cloud-alibaba,com.alibaba.cloud.sentinel.gateway.scg,SentinelSCGAutoConfiguration,initFallback,Long Statement,The length of the statement "GatewayCallbackManager.setBlockHandler((exchange`t) -> ServerResponse.status(fallbackProperties.getResponseStatus()).contentType(MediaType.valueOf(fallbackProperties.getContentType())).body(fromValue(fallbackProperties.getResponseBody())));" is 240.,97
spring-cloud-alibaba,com.alibaba.cloud.sentinel.gateway.scg,SentinelSCGAutoConfiguration,initFallback,Long Statement,The length of the statement "logger.info("[Sentinel SpringCloudGateway] using AnonymousBlockRequestHandler` responseStatus: " + fallbackProperties.getResponseStatus() + "` responseBody: "+ fallbackProperties.getResponseBody());" is 198.,97
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel.feign,CircuitBreakerRuleChangeListener,clearFeignClientRulesInDegradeManager,Long Statement,The length of the statement "propertiesBackup.getRules().keySet().stream().filter(key -> !Objects.equals(key`propertiesBackup.getDefaultRule())).forEach(resource -> Optional.ofNullable(DegradeRuleManager.getRulesOfResource(resource)).ifPresent(Set::clear));" is 228.,139
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel.feign,CircuitBreakerRuleChangeListener,clearFeignClientRulesInDegradeManager,Long Statement,The length of the statement "Arrays.stream(applicationContext.getBeanNamesForAnnotation(FeignClient.class)).filter(beanName -> beanName.contains(".")).map(beanName -> {" is 139.,139
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel.feign,CircuitBreakerRuleChangeListener,configureCustom,Long Statement,The length of the statement "factory.configure(builder -> ((SentinelConfigBuilder)builder).rules(properties.getRules().getOrDefault(resourceName`new ArrayList<>()))`resourceName);" is 150.,189
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel.feign,CircuitBreakerRuleChangeListener,configureDefault,Long Statement,The length of the statement "List<DegradeRule> defaultConfigurations=properties.getRules().getOrDefault(properties.getDefaultRule()`new ArrayList<>());" is 122.,201
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel.feign,CircuitBreakerRuleChangeListener,configureDefault,Long Statement,The length of the statement "factory.configureDefault(resourceName -> new SentinelConfigBuilder(resourceName.toString()).entryType(EntryType.OUT).rules(defaultConfigurations).build());" is 155.,201
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel.feign,CircuitBreakerRuleChangeListener,getConfigurations,Empty catch clause,The method has an empty catch block.,210
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel.feign,SentinelFeignClientProperties,equals,Long Statement,The length of the statement "return enableRefreshRules == that.enableRefreshRules && Objects.equals(defaultRule`that.defaultRule) && Objects.equals(rules`that.rules);" is 137.,76
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel.feign,SentinelFeignClientProperties,copy,Empty catch clause,The method has an empty catch block.,95
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel.feign,FeignClientCircuitBreakerRuleIntegrationTest,testDefaultRule,Magic Number,The method contains a magic number: 1200L,66
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel.feign,FeignClientCircuitBreakerRuleIntegrationTest,testSpecificFeignRule,Magic Number,The method contains a magic number: 1200L,95
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel.feign,FeignClientCircuitBreakerRuleIntegrationTest,testSpecificFeignMethodRule,Magic Number,The method contains a magic number: 1200L,124
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,ReactiveSentinelCircuitBreakerFactory,create,Long Statement,The length of the statement "SentinelConfigBuilder.SentinelCircuitBreakerConfiguration conf=getConfigurations().computeIfAbsent(id`defaultConfiguration);" is 124.,39
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,SentinelCircuitBreakerFactory,create,Long Statement,The length of the statement "SentinelConfigBuilder.SentinelCircuitBreakerConfiguration conf=getConfigurations().computeIfAbsent(id`defaultConfiguration);" is 124.,38
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,SentinelConfigBuilder,build,Long Statement,The length of the statement "return new SentinelCircuitBreakerConfiguration().setResourceName(this.resourceName).setEntryType(entryType).setRules(rules);" is 124.,63
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,ReactiveSentinelCircuitBreakerIntegrationTest,test,Magic Number,The method contains a magic number: 5,65
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,ReactiveSentinelCircuitBreakerIntegrationTest,test,Magic Number,The method contains a magic number: 900,65
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,ReactiveSentinelCircuitBreakerIntegrationTest,test,Magic Number,The method contains a magic number: 500,65
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,ReactiveSentinelCircuitBreakerIntegrationTest,test,Magic Number,The method contains a magic number: 5,65
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,ReactiveSentinelCircuitBreakerIntegrationTest,test,Magic Number,The method contains a magic number: 900,65
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,ReactiveSentinelCircuitBreakerIntegrationTest,test,Magic Number,The method contains a magic number: 500,65
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,ReactiveSentinelCircuitBreakerTest,runMonoWithFallback,Long Statement,The length of the statement "assertThat(Mono.error(new RuntimeException("boom")).transform(it -> cb.run(it`t -> Mono.just("fallback"))).block()).isEqualTo("fallback");" is 138.,54
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,ReactiveSentinelCircuitBreakerTest,runFlux,Long Statement,The length of the statement "assertThat(Flux.just("foobar"`"hello world").transform(it -> cb.run(it)).collectList().block()).isEqualTo(Arrays.asList("foobar"`"hello world"));" is 145.,63
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,ReactiveSentinelCircuitBreakerTest,runFluxWithFallback,Long Statement,The length of the statement "assertThat(Flux.error(new RuntimeException("boom")).transform(it -> cb.run(it`t -> Flux.just("fallback"))).collectList().block()).isEqualTo(Arrays.asList("fallback"));" is 167.,71
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,SentinelCircuitBreakerIntegrationTest,testSlow,Magic Number,The method contains a magic number: 5,56
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,SentinelCircuitBreakerIntegrationTest,testSlow,Magic Number,The method contains a magic number: 1000,56
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,SentinelCircuitBreakerTest,testCreateDirectlyThenRun,Long Statement,The length of the statement "CircuitBreaker cb2=new SentinelCircuitBreaker("testSentinelCreateDirectlyThenRunB"`Collections.singletonList(new DegradeRule("testSentinelCreateDirectlyThenRunB").setCount(100).setTimeWindow(10)));" is 197.,42
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,SentinelCircuitBreakerTest,testCreateDirectlyThenRun,Magic Number,The method contains a magic number: 100,42
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,SentinelCircuitBreakerTest,testCreateDirectlyThenRun,Magic Number,The method contains a magic number: 10,42
