Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,FileRefreshableDataSourceFactoryBeanTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.alibaba.cloud.sentinel.datasource.factorybean.FileRefreshableDataSourceFactoryBean
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,FileRefreshableDataSourceFactoryBeanTests.TestConfig,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,NacosDataSourceFactoryBeanTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.alibaba.cloud.sentinel.datasource.factorybean.NacosDataSourceFactoryBean
spring-cloud-alibaba,com.alibaba.cloud.sentinel.datasource,NacosDataSourcePropertiesTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.alibaba.cloud.sentinel.datasource.config.NacosDataSourceProperties
spring-cloud-alibaba,com.alibaba.cloud.sentinel.gateway,ConfigConstants,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: APP_TYPE_SCG_GATEWAY; GATEWAY_PREFIX; FALLBACK_MSG_RESPONSE; FALLBACK_REDIRECT
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel.feign,SentinelFeignClientAutoConfiguration.CircuitBreakerListenerConfiguration,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel.feign,SentinelFeignClientAutoConfiguration.CircuitBreakerNameResolverConfiguration,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel.feign,SentinelFeignClientAutoConfiguration.SentinelCustomizerConfiguration,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel.feign,SentinelFeignClientAutoConfiguration.ReactiveSentinelCustomizerConfiguration,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,SentinelConfigBuilder.SentinelCircuitBreakerConfiguration,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,ReactiveSentinelCircuitBreakerIntegrationTest.DemoControllerService,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,ReactiveSentinelCircuitBreakerTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.alibaba.cloud.circuitbreaker.sentinel.ReactiveSentinelCircuitBreakerFactory
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,SentinelCircuitBreakerIntegrationTest.DemoControllerService,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.circuitbreaker.sentinel,SentinelCircuitBreakerTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.alibaba.cloud.circuitbreaker.sentinel.SentinelCircuitBreakerFactory
spring-cloud-alibaba,com.alibaba.cloud.nacos.client,NacosPropertySourceBuilder,Law of Demeter violation,The tool detected the smell in this method (loadNacosData) because the method voilates the law of Demeter. The long chain of method invocations is : com.alibaba.cloud.nacos.parser.NacosDataParserHandler.parseNacosData; com.alibaba.cloud.nacos.parser.NacosDataParserHandler.getInstance
spring-cloud-alibaba,com.alibaba.cloud.nacos.client,NacosPropertySourceLocator,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder
spring-cloud-alibaba,com.alibaba.cloud.nacos.client,NacosPropertySourceLocator,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
spring-cloud-alibaba,com.alibaba.cloud.nacos.client,NacosPropertySourceLocator,Law of Demeter violation,The tool detected the smell in this method (loadNacosConfiguration) because the method voilates the law of Demeter. The long chain of method invocations is : com.alibaba.cloud.nacos.parser.NacosDataParserHandler.getInstance; com.alibaba.cloud.nacos.parser.NacosDataParserHandler.getFileExtension
spring-cloud-alibaba,com.alibaba.cloud.nacos.configdata,NacosConfigDataLoader,Law of Demeter violation,The tool detected the smell in this method (pullConfig) because the method voilates the law of Demeter. The long chain of method invocations is : com.alibaba.cloud.nacos.parser.NacosDataParserHandler.parseNacosData; com.alibaba.cloud.nacos.parser.NacosDataParserHandler.getInstance
spring-cloud-alibaba,com.alibaba.cloud.nacos.configdata,NacosConfigDataLocationResolver,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PREFIX
spring-cloud-alibaba,com.alibaba.cloud.nacos.configdata,NacosConfigDataMissingEnvironmentPostProcessor,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ORDER
spring-cloud-alibaba,com.alibaba.cloud.nacos.configdata,NacosConfigDataResource.NacosItemConfig,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.nacos.configdata,NacosConfigDataLocationResolverTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.alibaba.cloud.nacos.configdata.NacosConfigDataLocationResolver
spring-cloud-alibaba,com.alibaba.cloud.nacos.configdata,NacosConfigDataLocationResolverTest,Law of Demeter violation,The tool detected the smell in this method (testSetCommonPropertiesIsOK) because the method voilates the law of Demeter. The long chain of method invocations is : com.alibaba.cloud.nacos.configdata.NacosConfigDataResource.getProperties; com.alibaba.cloud.nacos.NacosConfigProperties.getUsername
spring-cloud-alibaba,com.alibaba.cloud.nacos.configdata,NacosConfigDataLocationResolverTest,Law of Demeter violation,The tool detected the smell in this method (testSetCommonPropertiesIsOK) because the method voilates the law of Demeter. The long chain of method invocations is : com.alibaba.cloud.nacos.configdata.NacosConfigDataResource.getProperties; com.alibaba.cloud.nacos.NacosConfigProperties.getPassword
spring-cloud-alibaba,com.alibaba.cloud.nacos.configdata,NacosConfigDataLocationResolverTest,Law of Demeter violation,The tool detected the smell in this method (testSetCommonPropertiesIsOK) because the method voilates the law of Demeter. The long chain of method invocations is : com.alibaba.cloud.nacos.configdata.NacosConfigDataResource.getProperties; com.alibaba.cloud.nacos.NacosConfigProperties.getServerAddr
spring-cloud-alibaba,com.alibaba.cloud.nacos.configdata,NacosConfigDataLocationResolverTest,Law of Demeter violation,The tool detected the smell in this method (testCommonPropertiesHasLowerPriority) because the method voilates the law of Demeter. The long chain of method invocations is : com.alibaba.cloud.nacos.configdata.NacosConfigDataResource.getProperties; com.alibaba.cloud.nacos.NacosConfigProperties.getUsername
spring-cloud-alibaba,com.alibaba.cloud.nacos.configdata,NacosConfigDataLocationResolverTest,Law of Demeter violation,The tool detected the smell in this method (testCommonPropertiesHasLowerPriority) because the method voilates the law of Demeter. The long chain of method invocations is : com.alibaba.cloud.nacos.configdata.NacosConfigDataResource.getProperties; com.alibaba.cloud.nacos.NacosConfigProperties.getPassword
spring-cloud-alibaba,com.alibaba.cloud.nacos.configdata,NacosConfigDataLocationResolverTest,Law of Demeter violation,The tool detected the smell in this method (testCommonPropertiesHasLowerPriority) because the method voilates the law of Demeter. The long chain of method invocations is : com.alibaba.cloud.nacos.configdata.NacosConfigDataResource.getProperties; com.alibaba.cloud.nacos.NacosConfigProperties.getServerAddr
spring-cloud-alibaba,com.alibaba.cloud.nacos.endpoint,NacosConfigEndpointTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.alibaba.cloud.nacos.endpoint.NacosConfigEndpoint
spring-cloud-alibaba,com.alibaba.cloud.nacos.endpoint,NacosConfigEndpointTests.TestConfig,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.nacos,NacosConfigProperties,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PREFIX; COMMAS; SEPARATOR; DEFAULT_NAMESPACE
spring-cloud-alibaba,com.alibaba.cloud.nacos,NacosConfigProperties.Config,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.nacos,NacosConfigPropertiesServerAddressBothLevelTests.TestConfig,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.nacos,NacosConfigPropertiesServerAddressTopLevelTests.TestConfig,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.nacos,NacosConfigurationExtConfigTests.TestConfig,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.nacos,NacosConfigurationNewTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.alibaba.cloud.nacos.endpoint.NacosConfigEndpoint
spring-cloud-alibaba,com.alibaba.cloud.nacos,NacosConfigurationNewTest.TestConfig,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.nacos,NacosConfigurationNoSuffixTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.alibaba.cloud.nacos.endpoint.NacosConfigEndpoint
spring-cloud-alibaba,com.alibaba.cloud.nacos,NacosConfigurationNoSuffixTest.TestConfig,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.nacos,NacosConfigurationTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.alibaba.cloud.nacos.endpoint.NacosConfigEndpoint
spring-cloud-alibaba,com.alibaba.cloud.nacos,NacosConfigurationTests.TestConfig,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.nacos,NacosConfigurationXmlJsonTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.alibaba.cloud.nacos.endpoint.NacosConfigEndpoint
spring-cloud-alibaba,com.alibaba.cloud.nacos,NacosConfigurationXmlJsonTest.TestConfig,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.nacos,NacosFileExtensionTest.TestConfig,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.nacos,SmartConfigurationPropertiesRebinderIntegrationTest.RebinderConfiguration,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.nacos,NacosDiscoveryProperties,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PREFIX
spring-cloud-alibaba,com.alibaba.cloud.nacos,NacosDiscoveryPropertiesServerAddressBothLevelTests.TestConfig,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.nacos,NacosDiscoveryPropertiesServerAddressTopLevelTests.TestConfig,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.nacos.parser,NacosDataParserHandler,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.alibaba.cloud.nacos.parser.NacosByteArrayResource
spring-cloud-alibaba,com.alibaba.cloud.nacos.parser,NacosJsonPropertySourceLoaderTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.alibaba.cloud.nacos.parser.NacosJsonPropertySourceLoader
spring-cloud-alibaba,com.alibaba.cloud.nacos.discovery,NacosDiscoveryClient,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DESCRIPTION
spring-cloud-alibaba,com.alibaba.cloud.nacos.discovery,NacosServiceDiscovery,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.alibaba.cloud.nacos.NacosServiceInstance
spring-cloud-alibaba,com.alibaba.cloud.nacos.discovery,NacosServiceDiscoveryTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.alibaba.cloud.nacos.discovery.NacosServiceDiscovery
spring-cloud-alibaba,com.alibaba.cloud.nacos.loadbalancer,NacosLoadBalancer,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ipv6
spring-cloud-alibaba,com.alibaba.cloud.nacos.loadbalancer,NacosLoadBalancerClientConfiguration.ReactiveSupportConfiguration,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.nacos.loadbalancer,NacosLoadBalancerClientConfiguration.BlockingSupportConfiguration,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.nacos.registry,NacosAutoServiceRegistration,Law of Demeter violation,The tool detected the smell in this method (register) because the method voilates the law of Demeter. The long chain of method invocations is : com.alibaba.cloud.nacos.registry.NacosRegistration.getNacosDiscoveryProperties; com.alibaba.cloud.nacos.NacosDiscoveryProperties.isRegisterEnabled
spring-cloud-alibaba,com.alibaba.cloud.nacos.registry,NacosAutoServiceRegistration,Law of Demeter violation,The tool detected the smell in this method (registerManagement) because the method voilates the law of Demeter. The long chain of method invocations is : com.alibaba.cloud.nacos.registry.NacosRegistration.getNacosDiscoveryProperties; com.alibaba.cloud.nacos.NacosDiscoveryProperties.isRegisterEnabled
spring-cloud-alibaba,com.alibaba.cloud.nacos.registry,NacosAutoServiceRegistration,Law of Demeter violation,The tool detected the smell in this method (isEnabled) because the method voilates the law of Demeter. The long chain of method invocations is : com.alibaba.cloud.nacos.registry.NacosRegistration.getNacosDiscoveryProperties; com.alibaba.cloud.nacos.NacosDiscoveryProperties.isRegisterEnabled
spring-cloud-alibaba,com.alibaba.cloud.nacos.registry,NacosAutoServiceRegistration,Law of Demeter violation,The tool detected the smell in this method (getAppName) because the method voilates the law of Demeter. The long chain of method invocations is : com.alibaba.cloud.nacos.registry.NacosRegistration.getNacosDiscoveryProperties; com.alibaba.cloud.nacos.NacosDiscoveryProperties.getService
spring-cloud-alibaba,com.alibaba.cloud.nacos.registry,NacosRegistration,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: MANAGEMENT_PORT; MANAGEMENT_CONTEXT_PATH; MANAGEMENT_ADDRESS; MANAGEMENT_ENDPOINT_BASE_PATH
spring-cloud-alibaba,com.alibaba.cloud.nacos.registry,NacosAutoServiceRegistrationIpNetworkInterfaceTests.TestConfig,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.nacos.registry,NacosAutoServiceRegistrationIpTests.TestConfig,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.nacos.registry,NacosAutoServiceRegistrationManagementPortTests.TestConfig,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.nacos.registry,NacosAutoServiceRegistrationPortTests.TestConfig,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.nacos.registry,NacosAutoServiceRegistrationTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.alibaba.cloud.nacos.endpoint.NacosDiscoveryEndpoint
spring-cloud-alibaba,com.alibaba.cloud.nacos.registry,NacosAutoServiceRegistrationTests.TestConfig,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.nacos.registry,NacosRegistrationCustomizerTest.TestConfig,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel.custom,SentinelDataSourceHandlerTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.alibaba.cloud.sentinel.datasource.config.ApolloDataSourceProperties; com.alibaba.cloud.sentinel.custom.SentinelDataSourceHandler
spring-cloud-alibaba,com.alibaba.cloud.sentinel.feign,SentinelContractHolder,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: METADATA_MAP
spring-cloud-alibaba,com.alibaba.cloud.sentinel.feign,SentinelFeign.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelConstants,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROPERTY_PREFIX; BLOCK_PAGE_URL_CONF_KEY; BLOCK_TYPE; FALLBACK_TYPE; URLCLEANER_TYPE; COLD_FACTOR; CHARSET; API_PORT
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelProperties.Flow,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelProperties.Servlet,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelProperties.Metric,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelProperties.Transport,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelProperties.Filter,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelProperties.Log,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,ContextIdSentinelFeignTests.TestConfig,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,ContextIdSentinelFeignTests.FeignConfiguration,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,ContextIdSentinelFeignTests.EchoServiceFallback,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,ContextIdSentinelFeignTests.FooServiceFallback,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,ContextIdSentinelFeignTests.CustomFallbackFactory,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelAutoConfigurationTests,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.alibaba.cloud.sentinel.endpoint.SentinelEndpoint
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelAutoConfigurationTests.ExceptionUtil,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelAutoConfigurationTests.TestConfig,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelBeanAutowiredTests.TestConfig,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelDataSourceTests,Law of Demeter violation,The tool detected the smell in this method (testDataSource) because the method voilates the law of Demeter. The long chain of method invocations is : com.alibaba.cloud.sentinel.datasource.config.DataSourcePropertiesConfiguration.getApollo; com.alibaba.cloud.sentinel.SentinelProperties.getDatasource
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelDataSourceTests,Law of Demeter violation,The tool detected the smell in this method (testDataSource) because the method voilates the law of Demeter. The long chain of method invocations is : com.alibaba.cloud.sentinel.datasource.config.DataSourcePropertiesConfiguration.getNacos; com.alibaba.cloud.sentinel.SentinelProperties.getDatasource
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelDataSourceTests,Law of Demeter violation,The tool detected the smell in this method (testDataSource) because the method voilates the law of Demeter. The long chain of method invocations is : com.alibaba.cloud.sentinel.datasource.config.DataSourcePropertiesConfiguration.getZk; com.alibaba.cloud.sentinel.SentinelProperties.getDatasource
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelDataSourceTests,Law of Demeter violation,The tool detected the smell in this method (testDataSource) because the method voilates the law of Demeter. The long chain of method invocations is : com.alibaba.cloud.sentinel.datasource.config.DataSourcePropertiesConfiguration.getFile; com.alibaba.cloud.sentinel.SentinelProperties.getDatasource
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelDataSourceTests,Law of Demeter violation,The tool detected the smell in this method (testDataSource) because the method voilates the law of Demeter. The long chain of method invocations is : com.alibaba.cloud.sentinel.datasource.config.AbstractDataSourceProperties.getDataType; com.alibaba.cloud.sentinel.datasource.config.DataSourcePropertiesConfiguration.getFile; com.alibaba.cloud.sentinel.SentinelProperties.getDatasource
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelDataSourceTests,Law of Demeter violation,The tool detected the smell in this method (testDataSource) because the method voilates the law of Demeter. The long chain of method invocations is : com.alibaba.cloud.sentinel.datasource.config.DataSourcePropertiesConfiguration.getFile; com.alibaba.cloud.sentinel.SentinelProperties.getDatasource; com.alibaba.cloud.sentinel.datasource.config.AbstractDataSourceProperties.getRuleType
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelDataSourceTests.TestConfig,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelFallbackSupportFactoryBeanTests.TestConfiguration,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelFeignTests.TestConfig,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelFeignTests.EchoServiceFallback,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelFeignTests.FooServiceFallback,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelFeignTests.CustomFallbackFactory,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelRestTemplateTests.TestConfig1,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelRestTemplateTests.TestConfig2,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelRestTemplateTests.TestConfig3,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelRestTemplateTests.TestConfig4,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelRestTemplateTests.TestConfig5,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelRestTemplateTests.TestConfig6,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelRestTemplateTests.TestConfig7,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelRestTemplateTests.TestConfig8,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelRestTemplateTests.TestConfig9,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelRestTemplateTests.TestConfig10,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelRestTemplateTests.TestConfig11,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelRestTemplateTests.TestConfig12,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelRestTemplateTests.TestConfig13,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelRestTemplateTests.TestConfig14,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelRestTemplateTests.ExceptionUtil,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
spring-cloud-alibaba,com.alibaba.cloud.sentinel,SentinelRestTemplateTests.UrlCleanUtil,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
